"VAR","Variable","COU","Country","ROW","From: (sector in row)","COL","To: (sector in column)","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2010,2010,PC,Percentage,0,Units,,,28.06,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,30.81,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,32.14,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,30.46,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,29.37,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,29.13,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,28.42,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,32.87,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,37.89,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2008,2008,PC,Percentage,0,Units,,,29.63,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2009,2009,PC,Percentage,0,Units,,,26.78,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2010,2010,PC,Percentage,0,Units,,,33.35,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,35.39,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,37.45,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,39.15,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,34.64,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_13T15,"Textiles, wearing apparel, leather and related products",ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,34.34,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,24.57,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,25.77,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,25.79,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2008,2008,PC,Percentage,0,Units,,,23.83,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2009,2009,PC,Percentage,0,Units,,,19,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2010,2010,PC,Percentage,0,Units,,,19.15,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,21.38,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,21.57,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,26.26,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,22.7,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_16,Wood and of products of wood and cork (except furniture),ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,23.36,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,28.15,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,30.29,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,28.57,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2008,2008,PC,Percentage,0,Units,,,29.68,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2009,2009,PC,Percentage,0,Units,,,30.84,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2010,2010,PC,Percentage,0,Units,,,32.62,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,35.32,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,35.3,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,36.76,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,32.49,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_17T18,Paper products and printing,ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,31.47,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,39.66,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,41.13,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,40.97,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2008,2008,PC,Percentage,0,Units,,,27.84,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2009,2009,PC,Percentage,0,Units,,,17.87,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2010,2010,PC,Percentage,0,Units,,,14.91,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,10.22,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,14.05,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,23.01,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,28.21,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_19,Coke and refined petroleum products,ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,23.74,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,24.58,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,27.28,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,29.36,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2008,2008,PC,Percentage,0,Units,,,28.26,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2009,2009,PC,Percentage,0,Units,,,29.7,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2010,2010,PC,Percentage,0,Units,,,27.61,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,26.53,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,29.4,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,26.33,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,32.87,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_20T21,Chemicals and pharmaceutical products,ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,32.9,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,39.85,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,41.3,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,42.18,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2008,2008,PC,Percentage,0,Units,,,38.61,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2009,2009,PC,Percentage,0,Units,,,34.55,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2010,2010,PC,Percentage,0,Units,,,37.89,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,40.47,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,40.34,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,45.43,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,40.36,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_22,Rubber and plastics products,ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,38.6,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,32.19,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,31.98,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,28.91,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2008,2008,PC,Percentage,0,Units,,,27.05,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2009,2009,PC,Percentage,0,Units,,,21.05,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2010,2010,PC,Percentage,0,Units,,,27.19,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,29.15,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,26.95,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,27.6,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,26.54,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_23,Other non-metallic mineral products,ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,27.51,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,36.42,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,37.7,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,41.65,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2008,2008,PC,Percentage,0,Units,,,39.54,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2009,2009,PC,Percentage,0,Units,,,37.78,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2010,2010,PC,Percentage,0,Units,,,43.18,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,47.84,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,51.93,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,56.61,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,50.11,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_24,Manufacture of basic metals,ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,42.94,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_25,"Fabricated metal products, except machinery and equipment",ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,35.67,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_25,"Fabricated metal products, except machinery and equipment",ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,38.54,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_25,"Fabricated metal products, except machinery and equipment",ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,34.61,,
